"","beta","q10_rh","npp_flux0","alpha","diff","S"
"2752",0.439230991379941,3.76973214717462,93.7343840576978,0.787976308822362,2.41381608188586,2.28857894554889
"2019",0.428796385633401,1.55210255721365,44.2867841783176,0.995496966306946,2.19636754609872,2.97857615912658
"1878",0.41308630939659,4.26882222589248,59.9894873399966,1.26680454945425,2.47444343296447,3.17673243677205
"2416",0.498845287366567,1.47569890642186,84.102584876154,1.33044639791484,2.14943341824662,2.49416004247229
"637",0.520342734871244,0.972406469721559,75.3837575569001,0.704267329715768,2.39864725932079,3.64101848775864
"638",0.689657420918631,0.481371022463377,69.5464863024019,0.872322370956828,2.26925374257733,3.65048568188735
"1962",0.552818160682971,2.29415785685088,51.7180123819477,0.907576422562875,2.19572388321796,2.72371607242589
"361",0.637672625920727,2.07758617107289,19.8987901167727,1.01136969637341,2.1690091798181,2.61652350223023
"2537",0.581359568343252,0.732836069023298,51.3267266236352,0.679757062457776,2.31081404542116,3.36565675062768
"28",0.594289930571732,2.13227838890671,58.4769244429677,1.21668556151373,2.27064570910495,2.79367483050459
"702",0.645144538704443,0.621380465958123,55.5336594279803,1.45266914774781,2.49971290163234,3.18259667307149
"1732",0.503411380661273,2.9527257737814,64.6113017233056,1.16631946162979,2.2910534315806,2.88044916652403
"1132",0.677185793808934,2.09736262703466,29.3923006816782,1.07686509096414,2.31592686829987,3.69941513050126
"2213",0.390811031359469,0.961118806548268,38.9660193503742,0.850934489393972,2.30653509966216,1.86938085933703
"654",0.594968355116772,1.86750646083393,55.1275321212113,0.664934771655682,2.55450183794615,2.40413280417732
"1645",0.477338618970189,1.81925220662126,55.435438600638,0.583643438082229,2.42695777815293,3.87800566322565
"2308",0.633448043626442,1.69177731990779,62.7608420904003,0.960206377595334,2.30115787531765,2.99395335601077
"2532",0.381460382008207,1.04171521323099,55.4791954674852,0.80513286726318,2.19503542815878,3.06419520975702
"2645",0.497202365313297,1.04252709476795,72.4792278159271,0.863492349210498,2.18573418751381,3.58003865896457
"1099",0.559060221585785,1.13507265580053,69.2864078855457,0.993088992819116,2.29074249556118,3.65952668543006
"82",0.420288623159418,1.26772718656337,65.8577421826791,1.0629739443177,2.28739035338735,3.3627836302238
"2305",0.434586092490623,1.80535161358205,52.0221455609395,0.789527990583297,2.2572057594309,3.42253012142434
"369",0.554436441490614,1.14627013596309,33.30809067158,0.983515926892413,2.34757958381577,3.05731365238326
"271",0.569632657793899,1.29288473046342,80.8128345130172,0.560800374586367,2.59818996287136,2.69656927694441
"1740",0.456371558157133,2.54771106620666,30.5977045093764,0.618220102817982,2.29652561850488,2.29912451123845
"1551",0.671793781636752,0.638502184811738,69.6124477074991,1.21418445282482,2.73115009961474,2.98565175439673
"1531",0.46690195949546,1.67600542649115,64.6108900396238,0.93016419374373,2.50561555881575,4.17305459452092
"1709",0.603403013303062,2.57091597662653,54.6654994820531,0.807686903053333,2.32222245285676,2.20012498380355
"2059",0.711833471172887,2.03914387066359,58.6334322990592,0.8610820711233,2.51133075210985,2.31986894881357
"1515",0.441978738057298,0.933702917013098,76.6715562007167,1.01502638044867,2.35744568404589,2.88026265945164
"1412",0.361460884386267,2.30104034179744,40.470198744753,1.14760712652576,2.36984062169959,2.56845874176593
"2747",0.361626077473412,0.659377871214843,28.1916554250784,1.17765298961588,2.49048556228988,2.86672495127869
"1772",0.436278232547482,1.43983921953072,36.6898576033846,0.843390042051258,2.09139349992752,2.80110910268003
"1670",0.299825778995616,1.57622407008953,67.4785885440486,1.05842981204667,2.2735270638246,4.68944975190358
"2396",0.53761132699069,4.03670479918363,87.0703574462158,1.10703649629587,2.52650926080366,3.4437289890037
"875",0.531881609900672,0.997428290033542,64.381934709687,1.23965844155712,2.55060057136728,2.67980388471538
"58",0.41892111205521,2.8401886654962,64.6504620677678,1.29125046184549,2.48999915760406,2.7892416433044
"827",0.475622115006308,4.36485935695725,24.4550448413299,1.35916968112861,2.31817270802077,2.85741973506476
"1",0.473530182860391,2.55652447147444,53.4796445976084,0.826541569175838,2.35453087794353,2.46181526722859
"2764",0.664443426699639,1.30635256111299,54.0283587506936,0.958359097236741,2.32314144249436,2.66303115851825
"1352",0.384384841210641,1.36962594580217,39.7690297086454,0.813963229689878,2.51278986289652,3.7247873362621
"1958",0.554571333208811,0.683764164580729,75.4529016119179,1.34533503867117,2.17460550709507,4.45306049935763
"2607",0.561019694833365,1.61376575891784,59.9645466857757,1.13210899891363,2.2634963735897,3.32446038206252
"1567",0.587139692706917,1.04093829622525,49.5595814777653,0.705037189520446,2.47155535708713,2.48314616497744
"1217",0.608967730172765,3.28550882170492,64.2281118438179,1.55678769679583,2.38959965186172,2.62185000056229
"2593",0.480510052032979,1.68725494396433,57.3417572578919,1.31367168314246,2.34098300385906,2.43619880094516
"2746",0.556991288037111,0.532691073460991,54.9967899662815,0.29654369588625,2.31467883619721,2.45864774248271
"2039",0.390982209455888,0.95435049028444,68.2823274773043,0.841413600084458,2.37152269915756,2.07018922976529
"1460",0.608661610949244,2.15261529120679,50.6874008698871,0.981886223778352,2.25913905348767,3.23371707967892
"1768",0.399554025126032,1.09374043975187,63.0261089995136,1.52515231763547,2.39654927181101,4.00055245023562
"1820",0.504976541242715,4.71760912559463,19.5706385244196,1.07823572150144,2.43681847228804,1.543257610019
"1435",0.699728053235192,1.02248545746434,44.6524257858524,1.07316133700366,2.54359717384643,1.85232521939618
"2393",0.560201859636505,2.15121710953731,59.5374377662972,1.0812022098519,2.43016532956472,4.13319257934948
"1864",0.541659388318885,0.629913172497466,26.7278604130929,1.22747724504809,2.46454540269282,3.0416043615347
"613",0.656466676928415,2.17243109136064,49.0754846376898,1.35903636078289,2.2936575989797,2.97947243436136
"1976",0.364642453385352,1.28924502472238,49.6935287945656,1.01451325817978,2.38077814371279,3.89197726617052
"840",0.643991050456775,2.79646127758506,45.8438715618571,1.24817698688995,2.34313127596349,2.54774435534338
"978",0.452902508418465,1.55245476657028,80.9764164961098,0.99338760622254,2.40931366225524,2.33105993152647
"1388",0.579854339713929,2.94625364247031,58.2600046251302,1.48881679842098,2.22038542738598,3.70839811355808
"888",0.557564627828671,2.604534035304,59.8739906596372,0.600401339023406,2.45742858093165,3.71288315375498
"2111",0.457561246435253,1.52764383109238,54.8763322328196,0.63302110320621,2.27741448540917,4.15672163757413
"1662",0.415132938854102,1.95548279678442,70.8417804208658,0.76188092528679,2.40351483673424,2.93655595072644
"236",0.677684227897655,0.946104523340119,81.9379518680808,1.00952544429032,2.50389437242251,2.60601236117672
"395",0.563332885517573,0.802062347697734,47.8775103796277,1.02711165876325,2.27161216990966,1.78826356342495
"528",0.709532387144079,1.80340508819184,50.7773887270982,0.692175261572711,2.28963762023987,2.49811112709509
"203",0.603252848676841,2.57807204943227,53.1058627103283,0.908400967016,2.52618023420311,2.44735305169245
"2770",0.469938857605158,1.96899326942793,59.8977183507907,0.627429778800461,2.33767835820344,2.76263196854077
"2738",0.67291656347419,2.53019629048196,49.4869468936625,1.21214357882474,2.41306013989767,3.52266218257272
"498",0.580514588627314,2.11310372586585,46.3888203995105,1.01712266490688,2.54474468698972,4.03579515927758
"2640",0.574219418414614,1.55274865816892,50.6803272726937,1.12911396001896,2.50098845973158,2.48027078592145
"1971",0.484531444442263,1.90923642218856,42.2736880603721,1.02358909061128,2.49742055379535,4.25332828266026
"1623",0.531968319470424,0.843800251450672,93.0570507036249,1.04848987832651,2.52161437694295,3.33015960614066
"2726",0.377918439119108,1.6991537086703,77.730421677698,0.728010284417821,2.54738544634061,2.89996841185724
"603",0.501516373691525,2.22444645435261,68.0444552590545,0.600744194925977,2.35280325774953,3.8228687481722
"901",0.723431433615124,0.7461123584905,79.1382330647482,1.0237608994302,2.55038102426566,2.79809496212713
"1234",0.602714556648524,2.48840632222094,56.7986996936232,1.3253949331699,2.35102391691263,3.00526518657057
"1086",0.351126980474783,1.67271712284696,41.4753336359924,0.846192277558566,2.27643314143894,3.26455440324852
"1328",0.476892371041812,4.10838757961031,56.6497904836399,1.17989437059759,2.16979677570123,3.34817705203925
"56",0.482382607694533,3.33444670471842,48.0119446813716,1.20254094428074,2.45620420048793,3.20802843405635
"2124",0.425074383899586,0.586933251911703,74.5443366421456,1.02058993401497,2.30728460161291,3.86877123130399
"222",0.589783272411144,0.606935552893059,75.4989936430426,1.13865470438871,2.43206048242388,3.61911168919755
"485",0.46593932284047,0.993143484746329,35.801774212117,0.608626531162607,2.44392845119056,3.29644296429093
"2214",0.561934108626314,2.43477715055051,24.8636781043872,1.05661860961202,2.28652995238031,2.65159843761577
"2666",0.358661957479941,1.13922612539723,48.9740921820548,0.726299963565661,2.26325535038695,3.13892199403149
"1730",0.491097623246785,2.58496473514936,48.2851526964555,0.859832845418114,2.41777780511976,2.68852547138617
